term,id,preferred term
structured clinical interview for diagnostic and statistical manual of mental disorders (dsm-iv),tsk_4a57abb949e35,structured clinical interview for diagnostic and statistical manual of mental disorders (dsm-iv)
living/nonliving judgment on mirror-reversed and plain-text words,trm_5176cf9d3d512,living/nonliving judgment on mirror-reversed and plain-text words
short penn continuous performance test-number and letter version,trm_56a2b7c08a279,short penn continuous performance test-number and letter version
communication and symbolic behavior scales development profile,trm_52718631bc934,communication and symbolic behavior scales development profile
beery-buktenica developmental test of visual-motor integration,trm_523f58d91f2c0,beery-buktenica developmental test of visual-motor integration
selection-optimization-compensation (soc) questionnaire,trm_56ac06bac9334,selection-optimization-compensation (soc) questionnaire
stanford leisure-time activity categorical item (l-cat),trm_56aaa613f0c1a,stanford leisure-time activity categorical item (l-cat)
cardiovascular malfunction arising from mental factors,dso_11569,neurocirculatory asthenia
joint attention / social and nonsocial orienting task,trm_529ce04b778b6,joint attention / social and nonsocial orienting task
physiological malfunction arising from mental factor,dso_4737,somatoform disorder
social cognition (theory of mind) fmri task paradigm,trm_550b557e5f90e,social cognition (theory of mind) fmri task paradigm
cambridge neuropsychological test automated battery,trm_4da880ff8fd4a,cambridge neuropsychological test automated battery
wechsler intelligence scale for children - revised,trm_4da6338803ed2,wechsler intelligence scale for children - revised
i7 impulsiveness and venturesomeness questionnaire,trm_56a91e3e982f9,i7 impulsiveness and venturesomeness questionnaire
modified erickson scale of communication attitudes,trm_4da891d43240c,modified erickson scale of communication attitudes
manipulation of language and non-verbal behaviors,trm_55217e77441b0,manipulation of language and non-verbal behaviors
center for epidemiologic studies depression scale,trm_5258346e72223,center for epidemiologic studies depression scale
nih toolbox vision-related quality of life survey,trm_50f37f231aa4c,nih toolbox vision-related quality of life survey
behavioral rating inventory of executive function,tsk_4a57abb9498ab,behavioral rating inventory of executive function
children's yale-brown obsessive compulsive scale,trm_52602c143d3a9,children's yale-brown obsessive compulsive scale
behavioral investment allocation strategy (bias),trm_4d54b8361e93e,behavioral investment allocation strategy (bias)
hamilton psychiatric rating scale for depression,trm_559e2af1cc0ce,hamilton psychiatric rating scale for depression
manipulation of predictability and acceptability,trm_55217d7fbfdba,manipulation of predictability and acceptability
autistic disorder of childhood onset (disorder),dso_12849,autistic disorder
stop signal task with dot motion discrimination,trm_558c3350c6a9f,stop signal task with dot motion discrimination
penn visual object learning test delayed memory,trm_56a2a98785453,penn visual object learning test delayed memory
macarthur communicative development inventories,trm_4da891794859f,macarthur communicative development inventories
spielberger's state-trait anxiety questionnaire,tsk_4a57abb949dfe,spielberger's state-trait anxiety questionnaire
stanford leisure-time activity categorical item,trm_56bbe12994926,stanford leisure-time activity categorical item
choice task between risky and non-risky options,trm_4d55a2bbcfdff,choice task between risky and non-risky options
stereotyped repetitive movements nos (finding),dso_2303,stereotypic movement disorder
coherent/incoherent discourse distinction task,trm_55217860a9dea,coherent/incoherent discourse distinction task
clinical evaluation of language fundamentals-3,tsk_4a57abb9499a8,clinical evaluation of language fundamentals-3
inter-dimensional/extra-dimensional shift task,trm_5667476fc14dd,inter-dimensional/extra-dimensional shift task
adult’s penn word memory test delayed memory,trm_56a2a665baeb1,adult’s penn word memory test delayed memory
psychological refractory period (prp) paradigm,trm_51c453f64d2a6,psychological refractory period (prp) paradigm
nih toolbox dimensional change card sort test,trm_50eb115b6c476,nih toolbox dimensional change card sort test
comprehensive test of phonological processing,trm_526027c99b726,comprehensive test of phonological processing
scale for the assessment of positive symptoms,trm_55a6cffbcb5f7,scale for the assessment of positive symptoms
scale for the assessment of negative symptoms,trm_55a6a36d9c3f9,scale for the assessment of negative symptoms
paranoid type schizophrenia subchronic state,dso_1229,paranoid schizophrenia
conners comprehensive behavior rating scales,trm_524b563fb87c8,conners comprehensive behavior rating scales
mixed receptive-expressive language disorder,dso_12685,mixed receptive-expressive language disorder
nih toolbox list sorting working memory test,trm_50eb17385e9a6,nih toolbox list sorting working memory test
nih toolbox general life satisfaction survey,trm_50f3c003327c4,nih toolbox general life satisfaction survey
multi-attribute reward-guided decision task,trm_553eb28436233,multi-attribute reward-guided decision task
minnesota multiphasic personality inventory,trm_55a6c80b2c1d6,minnesota multiphasic personality inventory
alcohol-related neurodevelopmental disorder,dso_0050667,alcohol-related neurodevelopmental disorder
wechsler adult intelligence scale - revised,tsk_4a57abb949f12,wechsler adult intelligence scale - revised
subjective emotional picture discrimination,trm_4c8a840d6f969,subjective emotional picture discrimination
expressive one word-picture vocabulary test,trm_5262c98a09546,expressive one word-picture vocabulary test
expressive one-word picture vocabulary test,trm_5298f15fe0fcf,expressive one-word picture vocabulary test
social influence for food preferences task,trm_553fbbf79ebc5,social influence for food preferences task
developmental expressive language disorder,dso_11385,expressive language disorder
nih toolbox 9-hole pegboard dexterity test,trm_50eb4d3d96ff8,nih toolbox 9-hole pegboard dexterity test
rapid eye movement sleep behavior disorder,dso_9091,rem sleep behavior disorder
wechsler abbreviated scale of intelligence,trm_4b94affc43245,wechsler abbreviated scale of intelligence
multidimensional personality questionnaire,trm_55a6aa62c54f8,multidimensional personality questionnaire
mindful-attention-awareness questionnaire,trm_56bbe2e5d1f26,mindful-attention-awareness questionnaire
obsessive-compulsive personality disorder,dso_10932,obsessive-compulsive personality disorder
nih toolbox oral reading recognition test,trm_50eb3b2d1de11,nih toolbox oral reading recognition test
salthouse and babcock listening span task,tsk_4a57abb949d69,salthouse and babcock listening span task
wechsler adult intelligence scale-revised,tsk_4a57abb949f04,wechsler adult intelligence scale-revised
nih toolbox 2-minute walk endurance test,trm_50eb69a57bc96,nih toolbox 2-minute walk endurance test
cattell's culture fair intelligence test,trm_4da86c6808ddd,cattell's culture fair intelligence test
stop signal task with pseudo word naming,trm_5181f863d24f4,stop signal task with pseudo word naming
early childhood behavioral questionnaire,trm_5298e7a465b41,early childhood behavioral questionnaire
unified parkinson's disease rating scale,tsk_4a57abb949ece,unified parkinson's disease rating scale
intermodal preferential looking paradigm,trm_4eb1f3a8ec119,intermodal preferential looking paradigm
nih toolbox picture sequence memory test,trm_4da88cb222308,nih toolbox picture sequence memory test
nih toolbox 4-meter walk gait speed test,trm_50eb585f62f24,nih toolbox 4-meter walk gait speed test
continuous performance test - ax version,trm_551f0c294ce23,continuous performance test - ax version
relational processing fmri task paradigm,trm_550b5a47aa23e,relational processing fmri task paradigm
attention deficit hyperactivity disorder,dso_1094,attention deficit hyperactivity disorder
non-specific x-linked mental retardation,dso_0050776,non-specific x-linked mental retardation
developmental disorder of mental health,dso_0060037,developmental disorder of mental health
aberrant behavior checklist - community,trm_523c7a0a73cf5,aberrant behavior checklist - community
intensity for somatosensory stimulation,trm_551b17b190582,intensity for somatosensory stimulation
treatment self-regulation questionnaire,trm_56aa9833c4be2,treatment self-regulation questionnaire
disintegrative psychosis nos (disorder),dso_13487,childhood disintegrative disease
becker-degroot-marschak (bdm) procedure,trm_553e77887abc7,becker-degroot-marschak (bdm) procedure
maudsley obsessive compulsive inventory,tsk_4a57abb949b54,maudsley obsessive compulsive inventory
fagerstrom test for nicotine dependence,tsk_4a57abb949a78,fagerstrom test for nicotine dependence
warrington's face/word recognition test,tsk_4a57abb949ef7,warrington's face/word recognition test
nih toolbox meaning and purpose survey,trm_50f5bfef58abb,nih toolbox meaning and purpose survey
language processing fmri task paradigm,trm_550b54a8b30f4,language processing fmri task paradigm
surface properties of object paradigms,trm_552184243d7ab,surface properties of object paradigms
autism diagnostic observation schedule,trm_4da891a546d8c,autism diagnostic observation schedule
production of non-facial communication,trm_5154b23a3156a,production of non-facial communication
behavioral approach/inhibition systems,trm_56a9137d9dce1,behavioral approach/inhibition systems
international affective picture system,tsk_4a57abb949aca,international affective picture system
penn facial memory test delayed memory,trm_56a2a622cdfbd,penn facial memory test delayed memory
manipulation of coherence and cohesion,trm_552181d7be45e,manipulation of coherence and cohesion
leiter international performance scale,trm_5262cb3d852c0,leiter international performance scale
verbal description of visual depiction,trm_552174d3b61fb,verbal description of visual depiction
nih toolbox hearing handicap inventory,trm_50f37767e2958,nih toolbox hearing handicap inventory
syntactic acceptability judgement task,tsk_4a57abb949e7c,syntactic acceptability judgement task
broader phenotype autism symptom scale,trm_524055ac4fecf,broader phenotype autism symptom scale
nih toolbox dynamic visual acuity test,trm_50f38098952cb,nih toolbox dynamic visual acuity test
measured emotion differentiation test,trm_56a2a74ab3ef6,measured emotion differentiation test
birmingham object recognition battery,tsk_4a57abb9498ce,birmingham object recognition battery
reynell developmental language scales,trm_4da8914987ee2,reynell developmental language scales
classification probe without feedback,trm_4ebc9d2e397f2,classification probe without feedback
test of adolescent and adult language,trm_52713c85c0bd2,test of adolescent and adult language
color-word stroop with task switching,trm_5542841f3dcd5,color-word stroop with task switching
classic apraxia (finding) [ambiguous],dso_4627,ideomotor apraxia
autism diagnostic interview - revised,trm_525d847e2bd0b,autism diagnostic interview - revised
rapid serial visual presentation task,tsk_4a57abb949879,rapid serial visual presentation task
spatial working memory localizer task,trm_558c36935a0e9,spatial working memory localizer task
auditory temporal discrimination task,trm_4f240e7f989f8,auditory temporal discrimination task
pebl perceptual vigilance task (ppvt),trm_50b55d8a6da00,pebl perceptual vigilance task (ppvt)
reception of non-facial communication,trm_5154b049c279f,reception of non-facial communication
emotion processing fmri task paradigm,trm_550b5b066d37b,emotion processing fmri task paradigm
early social and communication scales,trm_4da8911e715e3,early social and communication scales
abstract/concrete judgment: bilingual,trm_4ebd44cd88360,abstract/concrete judgment: bilingual
mindful attention and awareness scale,trm_56abcba3df89b,mindful attention and awareness scale
future time perspective questionnaire,trm_56a915fe77945,future time perspective questionnaire
raven's advanced progressive matrices,trm_4f24211a03b07,raven's advanced progressive matrices
predictive-inference helicopter task,trm_553e6b8e33da4,predictive-inference helicopter task
nih toolbox pain interference survey,trm_50f3862422509,nih toolbox pain interference survey
stop signal walking task with stroop,trm_553fcbbe974ba,stop signal walking task with stroop
wechsler memory scale fourth edition,trm_4b94b12bf0eb2,wechsler memory scale fourth edition
five facet mindfulness questionnaire,trm_56ab12e0f1a61,five facet mindfulness questionnaire
high energy density food recognition,trm_55c298bbe56d5,high energy density food recognition
broad autism phenotype questionnaire,trm_523dfd5b7a9f1,broad autism phenotype questionnaire
probabilistic reversal learning task,trm_4da6318f7381b,probabilistic reversal learning task
inter-modal selective attention task,trm_551f0713a5a17,inter-modal selective attention task
sustained attention to response task,trm_4da86cfe8cf1b,sustained attention to response task
adult adhd clinical diagnostic scale,trm_5586ff878155d,adult adhd clinical diagnostic scale
multi-attribute decision making task,trm_4f244fee7d195,multi-attribute decision making task
incentive modulated antisaccade task,trm_565a2e79b22f2,incentive modulated antisaccade task
"hysterical neurosis, conversion type",dso_1768,conversion disorder
nih toolbox odor identification test,trm_50f383e76e03b,nih toolbox odor identification test
behavioral inhibition (temperament),trm_4b7c27094a093,behavioral inhibition (temperament)
vibrotactile monitor/discrimination,trm_4c8a84afdd863,vibrotactile monitor/discrimination
stop signal task with letter naming,trm_5181f83b77fa4,stop signal task with letter naming
children's psychiatric rating scale,trm_525c56680c13c,children's psychiatric rating scale
developmental coordination disorder,dso_9923,developmental coordination disorder
nih toolbox picture vocabulary test,trm_50eb0dc6668e1,nih toolbox picture vocabulary test
ishihara plates for color blindness,tsk_4a57abb949af3,ishihara plates for color blindness
paced auditory serial addition test,trm_4da87fb28978e,paced auditory serial addition test
olfactory monitoring/discrimination,trm_4c89912c79030,olfactory monitoring/discrimination
zimbardo time perspective inventory,trm_56a91e92eab46,zimbardo time perspective inventory
temperament and character inventory,trm_55a6cb4f951ea,temperament and character inventory
rapid visual information processing,trm_50f8516279419,rapid visual information processing
stimulus selective stop signal task,trm_56a9123fe580f,stimulus selective stop signal task
fetishistic transvestism (disorder),dso_1233,transvestism
drug withdrawal syndrome in newborn,dso_9828,neonatal abstinence syndrome
sentence/nonword language localizer,trm_558c35979a284,sentence/nonword language localizer
nih toolbox hearing threshold test,trm_50f374718a91c,nih toolbox hearing threshold test
